,Time_Iter,Outer_Iter,Inner_Iter,Cur_Time,Time_Step,Time(sec),rms[Rho],rms[RhoU],rms[RhoV],rms[RhoE],CD,CL,CSF,CMx,CMy,CMz,CFx,CFy,CFz,CEff,plunge(airfoil),pitch(airfoil)
0,72,0,99,0.001745329,0.001745329,0.439606913,-6.478599073,-3.219467476,-3.801889065,-0.165490659,1.91e-05,-0.057262616,0,0,0,-0.047082861,1.91e-05,-0.057262616,0,-3005.158645,0.000940291,-0.000220993
1,73,0,99,0.003490659,0.001745329,0.414400545,-6.77637223,-3.336977544,-4.070124216,-0.386380992,4.45e-05,-0.046714155,0,0,0,-0.035964641,4.45e-05,-0.046714155,0,-1050.924212,0.003022582,-0.000646596
2,74,0,99,0.005235988,0.001745329,0.494494435,-7.187886094,-3.638518435,-4.441271624,-0.745163786,5.52e-05,-0.043531867,0,0,0,-0.033235067,5.52e-05,-0.043531867,0,-789.3021177,0.005621711,-0.000914049
3,75,0,99,0.006981317,0.001745329,0.435285711,-7.138248984,-3.436551188,-4.267901156,-0.586052932,3.44e-05,-0.037184246,0,0,0,-0.027709161,3.44e-05,-0.037184246,0,-1080.822567,0.007877629,-0.000600678
4,76,0,99,0.008726646,0.001745329,0.389388284,-6.925678029,-3.124792185,-3.975595943,-0.291736889,1.08e-05,-0.027250287,0,0,0,-0.019313862,1.08e-05,-0.027250287,0,-2518.683969,0.009233719,0.000500561
5,77,0,99,0.010471976,0.001745329,0.394314325,-6.773373459,-2.922929928,-3.781102718,-0.096863533,1.28e-05,-0.014595636,0,0,0,-0.009070393,1.28e-05,-0.014595636,0,-1143.25432,0.009665541,0.002269837
6,78,0,99,0.012217305,0.001745329,0.412051597,-6.691862474,-2.817025357,-3.677896512,0.005723524,4.95e-05,-0.001016532,0,0,0,0.001410277,4.95e-05,-0.001016532,0,-20.54137193,0.009579243,0.004331422
7,79,0,99,0.013962634,0.001745329,0.414248654,-6.675237556,-2.787200856,-3.649161609,0.033778199,0.000102798,0.011367139,0,0,0,0.010481905,0.000102798,0.011367139,0,110.5776537,0.009512452,0.006235194
8,80,0,99,0.015707963,0.001745329,0.390985152,-6.721060777,-2.827433358,-3.689311344,-0.007438232,0.000142464,0.020917864,0,0,0,0.017077324,0.000142464,0.020917864,0,146.8288628,0.009829361,0.007640708
9,81,0,99,0.017453293,0.001745329,0.476957018,-6.831689148,-2.942934794,-3.802862486,-0.123219916,0.000152966,0.026981163,0,0,0,0.020973966,0.000152966,0.026981163,0,176.3864341,0.010558915,0.008418485
10,82,0,99,0.019198622,0.001745329,0.397216215,-7.010925016,-3.151626138,-4.004111421,-0.330474852,0.000141744,0.029837466,0,0,0,0.022606362,0.000141744,0.029837466,0,210.5020831,0.011424248,0.008640189
11,83,0,99,0.020943951,0.001745329,0.392219449,-7.271778757,-3.541676841,-4.356010575,-0.70387654,0.000124771,0.030252623,0,0,0,0.022634019,0.000124771,0.030252623,0,242.4647114,0.012013134,0.008486004
12,84,0,99,0.02268928,0.001745329,0.413629614,-7.428209331,-4.227647367,-4.768721189,-1.149663961,0.000111139,0.028950732,0,0,0,0.021542635,0.000111139,0.028950732,0,260.4922691,0.011985126,0.008128864
13,85,0,99,0.02443461,0.001745329,0.394197416,-7.309740299,-3.578402769,-4.423412093,-0.733660485,0.000100438,0.026277495,0,0,0,0.01945696,0.000100438,0.026277495,0,261.6284985,0.011214746,0.007653298
14,86,0,99,0.026179939,0.001745329,0.391103226,-7.180804523,-3.371120539,-4.229342898,-0.539715503,8.88e-05,0.022162493,0,0,0,0.016198965,8.88e-05,0.022162493,0,249.5880034,0.009818049,0.007039182
15,87,0,99,0.027925268,0.001745329,0.38734666,-7.06650704,-3.233057922,-4.093364422,-0.404902649,7.53e-05,0.016332812,0,0,0,0.011512449,7.53e-05,0.016332812,0,216.9514507,0.00807228,0.006204946
