,Time_Iter,Outer_Iter,Inner_Iter,Cur_Time,Time_Step,Time(sec),rms[Rho],rms[RhoU],rms[RhoV],rms[RhoE],CD,CL,CSF,CMx,CMy,CMz,CFx,CFy,CFz,CEff,plunge(airfoil),pitch(airfoil)
0,72,0,99,0.001745329,0.001745329,0.436554489,-6.470962212,-3.726835094,-4.098741806,-0.861820835,8.56e-05,-0.058017783,0,0,0,-0.053000653,8.56e-05,-0.058017783,0,-677.7029603,8.72e-05,1.89e-05
1,73,0,99,0.003490659,0.001745329,0.541797845,-6.845143061,-3.784217577,-4.377375196,-1.105414111,5.18e-05,-0.036673846,0,0,0,-0.02872421,5.18e-05,-0.036673846,0,-708.2909411,0.000375847,1.11e-05
2,74,0,99,0.005235988,0.001745329,0.54977594,-7.338947024,-4.187220856,-5.002610702,-1.671600152,5.92e-05,-0.035442111,0,0,0,-0.027071851,5.92e-05,-0.035442111,0,-598.5022071,0.000846037,-1.31e-05
3,75,0,99,0.006981317,0.001745329,0.481436594,-7.889244788,-4.740336074,-5.451795227,-2.149918455,4.69e-05,-0.033708056,0,0,0,-0.025405599,4.69e-05,-0.033708056,0,-718.7529671,0.00137467,6.35e-06
4,76,0,99,0.008726646,0.001745329,0.55704012,-7.895734317,-4.876951087,-5.515389079,-2.197855598,2.45e-05,-0.030806907,0,0,0,-0.022873529,2.45e-05,-0.030806907,0,-1256.905981,0.00182828,0.000131143
5,77,0,99,0.010471976,0.001745329,0.554153836,-7.821205835,-4.30469223,-5.112573647,-1.781863916,8.58e-06,-0.027326149,0,0,0,-0.020007854,8.58e-06,-0.027326149,0,-3185.735897,0.002143001,0.00038306
6,78,0,99,0.012217305,0.001745329,0.480938963,-7.73547375,-4.000917913,-4.834465861,-1.496629106,8.09e-06,-0.023925263,0,0,0,-0.017375377,8.09e-06,-0.023925263,0,-2958.85038,0.002352009,0.000730313
7,79,0,99,0.013962634,0.001745329,0.528167608,-7.677918242,-3.875862356,-4.718040647,-1.375326268,1.9e-05,-0.021001998,0,0,0,-0.015253483,1.9e-05,-0.021001998,0,-1104.883789,0.00255488,0.001105249
8,80,0,99,0.015707963,0.001745329,0.513391919,-7.684717047,-3.862160823,-4.709127187,-1.362766032,3.18e-05,-0.018646909,0,0,0,-0.01364693,3.18e-05,-0.018646909,0,-585.6924753,0.002852846,0.001439889
9,81,0,99,0.017453293,0.001745329,0.531958367,-7.750543154,-3.91837836,-4.768084871,-1.419568013,4.12e-05,-0.016752378,0,0,0,-0.012403849,4.12e-05,-0.016752378,0,-406.9417381,0.003289283,0.001698171
10,82,0,99,0.019198622,0.001745329,0.472731407,-7.843953222,-4.007789969,-4.858566285,-1.509500576,4.71e-05,-0.015127754,0,0,0,-0.011311967,4.71e-05,-0.015127754,0,-321.1558046,0.003827909,0.001887625
11,83,0,99,0.020943951,0.001745329,0.473507047,-7.929601679,-4.096643333,-4.947197065,-1.598628082,5.13e-05,-0.013575747,0,0,0,-0.010176453,5.13e-05,-0.013575747,0,-264.8859369,0.004376567,0.002046412
12,84,0,99,0.02268928,0.001745329,0.579137089,-7.989032841,-4.161457578,-5.011268515,-1.663199011,5.41e-05,-0.011958681,0,0,0,-0.00889655,5.41e-05,-0.011958681,0,-220.8773137,0.004838133,0.002215835
13,85,0,98,0.02443461,0.001745329,0.599679558,-8.003936439,-4.175920985,-5.021947141,-1.676899364,5.58e-05,-0.010265892,0,0,0,-0.007520568,5.58e-05,-0.010265892,0,-184.0068287,0.005157556,0.002415098
14,86,0,97,0.026179939,0.001745329,0.621821088,-8.007717425,-4.16724972,-5.010240276,-1.66749998,5.68e-05,-0.008636888,0,0,0,-0.006233173,5.68e-05,-0.008636888,0,-152.1761069,0.005340437,0.002631626
15,87,0,96,0.027925268,0.001745329,0.693714967,-8.002821368,-4.158166105,-4.997073316,-1.658893396,5.79e-05,-0.007299577,0,0,0,-0.00526318,5.79e-05,-0.007299577,0,-126.0791223,0.005437435,0.00282993
16,88,0,96,0.029670597,0.001745329,0.654692481,-8.002996767,-4.194478949,-5.032009336,-1.694690835,5.96e-05,-0.006450806,0,0,0,-0.004763118,5.96e-05,-0.006450806,0,-108.2876669,0.005507828,0.002971707
17,89,0,96,0.031415927,0.001745329,0.650995165,-8.008249095,-4.288303637,-5.122006816,-1.786719717,6.15e-05,-0.006156962,0,0,0,-0.004736779,6.15e-05,-0.006156962,0,-100.123834,0.005584616,0.003034939
18,90,0,95,0.033161256,0.001745329,0.59567115,-8.021279955,-4.467608249,-5.28461801,-1.959019367,6.32e-05,-0.0063357,0,0,0,-0.005055475,6.32e-05,-0.0063357,0,-100.2396997,0.005659373,0.003022093
19,91,0,92,0.034906585,0.001745329,0.725813155,-8.012434217,-4.859697953,-5.559413309,-2.286553029,6.44e-05,-0.006820086,0,0,0,-0.005543483,6.44e-05,-0.006820086,0,-105.8848885,0.00569198,0.002954715
20,92,0,90,0.036651914,0.001745329,0.693428957,-8.007719432,-4.85743102,-5.543767292,-2.272005742,6.5e-05,-0.007456736,0,0,0,-0.006074973,6.5e-05,-0.007456736,0,-114.7765447,0.005636458,0.002859263
21,93,0,91,0.038397244,0.001745329,0.658321537,-8.021943646,-4.506024677,-5.302966891,-1.989317262,6.48e-05,-0.008178887,0,0,0,-0.006627747,6.48e-05,-0.008178887,0,-126.1377906,0.005466922,0.002752933
22,94,0,92,0.040142573,0.001745329,0.578220905,-8.003980581,-4.378362771,-5.19154332,-1.869551366,6.41e-05,-0.00901952,0,0,0,-0.007271715,6.41e-05,-0.00901952,0,-140.6045225,0.005189946,0.002636917
23,95,0,95,0.041887902,0.001745329,0.663256496,-8.018518764,-4.352208179,-5.178578432,-1.845873969,6.32e-05,-0.010067077,0,0,0,-0.008108243,6.32e-05,-0.010067077,0,-159.3086206,0.004838762,0.00249954
