,Time_Iter,Outer_Iter,Inner_Iter,Cur_Time,Time_Step,Time(sec),rms[Rho],rms[RhoU],rms[RhoV],rms[RhoE],CD,CL,CSF,CMx,CMy,CMz,CFx,CFy,CFz,CEff,plunge(airfoil),pitch(airfoil)
0,72,0,99,0.001745329,0.001745329,0.416244788,-6.444949073,-3.709295741,-4.038015297,-0.725944505,6.06e-05,-0.057757025,0,0,0,-0.051239148,6.06e-05,-0.057757025,0,-952.8835727,0.000158587,-7.98e-07
1,73,0,99,0.003490659,0.001745329,0.391984563,-6.792380124,-3.683640666,-4.309933895,-0.952459652,4.65e-05,-0.039278679,0,0,0,-0.030486965,4.65e-05,-0.039278679,0,-845.2127679,0.000599154,-4.44e-05
2,74,0,99,0.005235988,0.001745329,0.363039158,-7.352247467,-4.038431089,-4.876905927,-1.460438273,6.02e-05,-0.037711047,0,0,0,-0.028765442,6.02e-05,-0.037711047,0,-625.9335484,0.001250662,-9.05e-05
3,75,0,99,0.006981317,0.001745329,0.360018972,-7.7489593,-4.371464829,-5.179608953,-1.769204302,5.02e-05,-0.035227897,0,0,0,-0.026500208,5.02e-05,-0.035227897,0,-701.7634863,0.00192841,-4.81e-05
4,76,0,99,0.008726646,0.001745329,0.393203347,-7.690357835,-4.28420777,-5.093478776,-1.679587341,2.99e-05,-0.031405829,0,0,0,-0.023188385,2.99e-05,-0.031405829,0,-1049.964286,0.002467846,0.000156894
5,77,0,99,0.010471976,0.001745329,0.373420356,-7.603788755,-3.966673616,-4.813781064,-1.397271035,1.79e-05,-0.026912736,0,0,0,-0.019496384,1.79e-05,-0.026912736,0,-1505.62848,0.002817203,0.000533119
6,78,0,99,0.012217305,0.001745329,0.410425719,-7.517894631,-3.764627536,-4.625330652,-1.205197042,2.19e-05,-0.022470808,0,0,0,-0.016056488,2.19e-05,-0.022470808,0,-1025.196073,0.003050872,0.001019365
7,79,0,99,0.013962634,0.001745329,0.366045754,-7.480307888,-3.680141848,-4.547088915,-1.124283788,3.59e-05,-0.018556164,0,0,0,-0.013204868,3.59e-05,-0.018556164,0,-516.8993103,0.00331073,0.001517796
8,80,0,99,0.015707963,0.001745329,0.403781455,-7.499322421,-3.681101615,-4.551838692,-1.126611954,4.98e-05,-0.01533683,0,0,0,-0.010991461,4.98e-05,-0.01533683,0,-307.9843092,0.003716622,0.001943382
9,81,0,99,0.017453293,0.001745329,0.422628342,-7.562874712,-3.737779978,-4.610848002,-1.183891185,5.89e-05,-0.012739485,0,0,0,-0.009265059,5.89e-05,-0.012739485,0,-216.2206335,0.004298296,0.002261055
