,Time_Iter,Outer_Iter,Inner_Iter,Cur_Time,Time_Step,Time(sec),rms[Rho],rms[RhoU],rms[RhoV],rms[RhoE],CD,CL,CSF,CMx,CMy,CMz,CFx,CFy,CFz,CEff,plunge(airfoil),pitch(airfoil)
0,72,0,99,0.001745329,0.001745329,1.389678287,-6.340905911,-3.740722182,-4.244379485,-1.245781079,0.000155354,-0.065647464,0,0,0,-0.066601616,0.000155354,-0.065647464,0,-422.5666862,-1.69e-05,3.47e-05
1,73,0,99,0.003490659,0.001745329,1.327885748,-6.738710415,-4.048285954,-4.555221368,-1.558658101,8.6e-05,-0.030161332,0,0,0,-0.026406977,8.6e-05,-0.030161332,0,-350.5927641,8.02e-06,7.44e-05
2,74,0,99,0.005235988,0.001745329,1.425325093,-7.051353789,-4.220754918,-4.933007118,-1.965090145,0.000106608,-0.028919707,0,0,0,-0.023890829,0.000106608,-0.028919707,0,-271.2705486,0.000115558,9.46e-05
3,75,0,99,0.006981317,0.001745329,1.627121187,-7.635825063,-4.466754052,-5.173130331,-2.200447113,0.000122349,-0.029572767,0,0,0,-0.023773461,0.000122349,-0.029572767,0,-241.7081609,0.000298662,9.63e-05
4,76,0,99,0.008726646,0.001745329,1.487752386,-7.909156055,-4.889087861,-5.604651031,-2.620126254,0.000125525,-0.029777305,0,0,0,-0.023436899,0.000125525,-0.029777305,0,-237.2215715,0.000513146,0.000100744
5,77,0,94,0.010471976,0.001745329,1.242015648,-8.00717836,-4.940899598,-5.597164284,-2.64049005,0.000114417,-0.029113118,0,0,0,-0.022356853,0.000114417,-0.029113118,0,-254.4480506,0.000707968,0.000132885
6,78,0,94,0.012217305,0.001745329,1.356206493,-8.012545225,-4.606428632,-5.269871075,-2.327346667,9e-05,-0.027593154,0,0,0,-0.020621164,9e-05,-0.027593154,0,-306.7120194,0.000853747,0.000205324
7,79,0,97,0.013962634,0.001745329,1.182621873,-8.023277841,-4.630008217,-5.301383188,-2.353355214,5.81e-05,-0.025600997,0,0,0,-0.018710601,5.81e-05,-0.025600997,0,-440.9404859,0.000954436,0.000312282
8,80,0,95,0.015707963,0.001745329,1.307780973,-8.000830872,-4.784685095,-5.452119284,-2.501745647,2.94e-05,-0.023611532,0,0,0,-0.017087058,2.94e-05,-0.023611532,0,-803.6890462,0.001039251,0.00043415
9,81,0,90,0.017453293,0.001745329,1.492057055,-8.012334416,-5.362199037,-5.84322609,-2.905156158,1.48e-05,-0.022032588,0,0,0,-0.016030536,1.48e-05,-0.022032588,0,-1483.71953,0.001142538,0.000548611
10,82,0,87,0.019198622,0.001745329,1.248358573,-8.023111393,-4.533881423,-5.170999819,-2.251847221,1.86e-05,-0.021077361,0,0,0,-0.01558525,1.86e-05,-0.021077361,0,-1133.356501,0.001284043,0.000641482
11,83,0,91,0.020943951,0.001745329,1.222415916,-8.002957321,-4.420152717,-5.074384861,-2.142904127,3.48e-05,-0.020695457,0,0,0,-0.015575439,3.48e-05,-0.020695457,0,-594.8156869,0.001459737,0.000711752
12,84,0,94,0.02268928,0.001745329,1.174299033,-8.014352493,-4.475064825,-5.137084051,-2.198266283,5.21e-05,-0.020627455,0,0,0,-0.01570774,5.21e-05,-0.020627455,0,-396.2448572,0.001646332,0.00076912
13,85,0,91,0.02443461,0.001745329,1.452702073,-8.00976136,-4.529337158,-5.186790283,-2.252302718,6.15e-05,-0.02056641,0,0,0,-0.015723644,6.15e-05,-0.02056641,0,-334.6009763,0.001815104,0.000826453
14,86,0,84,0.026179939,0.001745329,1.195804156,-8.014576754,-4.611370338,-5.249682067,-2.334966553,6.13e-05,-0.020325907,0,0,0,-0.015517506,6.13e-05,-0.020325907,0,-331.3808674,0.001946517,0.000891821
15,87,0,77,0.027925268,0.001745329,1.424379314,-8.012788086,-4.774872695,-5.38839504,-2.499624633,5.61e-05,-0.019911199,0,0,0,-0.015155311,5.61e-05,-0.019911199,0,-354.633152,0.002037995,0.0009643
16,88,0,74,0.029670597,0.001745329,1.342834068,-8.002227206,-4.918526027,-5.538103288,-2.637637061,5.19e-05,-0.019465462,0,0,0,-0.014797372,5.19e-05,-0.019465462,0,-375.0771459,0.002101763,0.001035183
17,89,0,74,0.031415927,0.001745329,1.396780544,-8.001507802,-4.857895994,-5.459393224,-2.569261872,5.19e-05,-0.019149903,0,0,0,-0.014587365,5.19e-05,-0.019149903,0,-369.0369564,0.002155281,0.001093234
18,90,0,76,0.033161256,0.001745329,1.663484616,-8.026681265,-4.815633461,-5.415739571,-2.527371186,5.55e-05,-0.01904688,0,0,0,-0.014579029,5.55e-05,-0.01904688,0,-343.082534,0.002210309,0.001130655
19,91,0,76,0.034906585,0.001745329,1.570884518,-8.006930261,-4.849060535,-5.445227825,-2.55737405,6e-05,-0.019137876,0,0,0,-0.014732866,6e-05,-0.019137876,0,-319.0563054,0.002266615,0.001146513
20,92,0,75,0.036651914,0.001745329,1.512593321,-8.004279221,-4.99537406,-5.579343675,-2.689068967,6.29e-05,-0.019346312,0,0,0,-0.014965109,6.29e-05,-0.019346312,0,-307.6736223,0.002313144,0.001146113
21,93,0,73,0.038397244,0.001745329,1.5863579,-8.001831075,-5.184401768,-5.742295209,-2.837706997,6.35e-05,-0.019598599,0,0,0,-0.015205917,6.35e-05,-0.019598599,0,-308.4139201,0.002335108,0.00113716
22,94,0,72,0.040142573,0.001745329,1.633898962,-8.016355845,-5.146953556,-5.705655983,-2.809944766,6.28e-05,-0.019862184,0,0,0,-0.015431837,6.28e-05,-0.019862184,0,-316.2834652,0.002322437,0.001125201
23,95,0,72,0.041887902,0.001745329,1.854069741,-8.016073156,-5.022481859,-5.588610494,-2.706595359,6.18e-05,-0.020147686,0,0,0,-0.015663121,6.18e-05,-0.020147686,0,-325.8497629,0.002274818,0.001110899
24,96,0,73,0.043633231,0.001745329,1.43428153,-8.002389553,-4.940661998,-5.512776217,-2.632254753,6.13e-05,-0.020486658,0,0,0,-0.015938041,6.13e-05,-0.020486658,0,-334.0645965,0.00220097,0.001090428
25,97,0,75,0.045378561,0.001745329,1.433878867,-8.004657937,-4.876421098,-5.459371904,-2.574895491,6.12e-05,-0.020904572,0,0,0,-0.016284016,6.12e-05,-0.020904572,0,-341.4071674,0.002113237,0.001058376
