,Time_Iter,Outer_Iter,Inner_Iter,Cur_Time,Time_Step,Time(sec),rms[Rho],rms[RhoU],rms[RhoV],rms[RhoE],CD,CL,CSF,CMx,CMy,CMz,CFx,CFy,CFz,CEff,plunge(airfoil),pitch(airfoil)
0,72,0,99,0.001745329,0.001745329,2.268904634,-6.341463945,-3.73874398,-4.163801163,-1.005757894,0.000112805,-0.059888264,0,0,0,-0.057034042,0.000112805,-0.059888264,0,-530.8986551,2.16e-05,2.86e-05
1,73,0,99,0.003490659,0.001745329,2.225387169,-6.706336184,-3.914851942,-4.461238875,-1.286428454,7.42e-05,-0.033733084,0,0,0,-0.027468809,7.42e-05,-0.033733084,0,-454.8503591,0.000142154,5.11e-05
2,74,0,99,0.005235988,0.001745329,2.607553932,-7.165534179,-4.13651859,-4.894597545,-1.74189574,9.76e-05,-0.032999205,0,0,0,-0.026036406,9.76e-05,-0.032999205,0,-338.1611205,0.0003794,5.65e-05
3,75,0,99,0.006981317,0.001745329,2.368365053,-7.712175852,-4.421717795,-5.172658511,-2.018075828,0.000106053,-0.032864552,0,0,0,-0.025551466,0.000106053,-0.032864552,0,-309.8869043,0.000686429,6.66e-05
4,76,0,99,0.008726646,0.001745329,2.016125731,-7.927890005,-4.944950274,-5.646324702,-2.463317181,9.56e-05,-0.03179064,0,0,0,-0.024272454,9.56e-05,-0.03179064,0,-332.4673117,0.000991783,0.00011564
5,77,0,99,0.010471976,0.001745329,2.023446008,-7.983236416,-5.041811153,-5.702975449,-2.53164881,7.01e-05,-0.029773717,0,0,0,-0.022233632,7.01e-05,-0.029773717,0,-424.5688779,0.001243982,0.000225489
6,78,0,99,0.012217305,0.001745329,2.228012233,-7.951981588,-5.094324568,-5.757261475,-2.566534451,3.96e-05,-0.027212951,0,0,0,-0.019930406,3.96e-05,-0.027212951,0,-687.6077578,0.001435305,0.000393541
7,79,0,99,0.013962634,0.001745329,2.24021172,-7.988927674,-5.006358372,-5.695138521,-2.529419425,1.74e-05,-0.024650973,0,0,0,-0.017891316,1.74e-05,-0.024650973,0,-1413.977883,0.001597675,0.000595201
8,80,0,99,0.015707963,0.001745329,1.993013938,-8.002852134,-4.511405886,-5.250801137,-2.108675596,1.29e-05,-0.022527694,0,0,0,-0.016420653,1.29e-05,-0.022527694,0,-1740.911208,0.001778532,0.000797511
9,81,0,99,0.017453293,0.001745329,1.906783812,-7.934973394,-4.321403246,-5.066221047,-1.923814723,2.47e-05,-0.02102963,0,0,0,-0.015539438,2.47e-05,-0.02102963,0,-851.68362,0.00201233,0.000974909
10,82,0,99,0.019198622,0.001745329,2.053169779,-7.894743877,-4.278629439,-5.02651196,-1.882087382,4.25e-05,-0.020051405,0,0,0,-0.015037133,4.25e-05,-0.020051405,0,-471.2781544,0.002302581,0.001119049
11,83,0,99,0.020943951,0.001745329,1.960114869,-7.93824658,-4.338233927,-5.089168379,-1.942177421,5.62e-05,-0.019309138,0,0,0,-0.014616841,5.62e-05,-0.019309138,0,-343.7153686,0.002621924,0.001238678
12,84,0,96,0.02268928,0.001745329,1.924483913,-8.003403327,-4.406905732,-5.153349678,-2.011187385,6.17e-05,-0.018535711,0,0,0,-0.014062706,6.17e-05,-0.018535711,0,-300.2004557,0.002927814,0.001351009
13,85,0,88,0.02443461,0.001745329,2.196902294,-8.014632066,-4.397046825,-5.122728291,-2.001824051,6.18e-05,-0.017624408,0,0,0,-0.01333251,6.18e-05,-0.017624408,0,-285.1429242,0.00318396,0.001470096
14,86,0,83,0.026179939,0.001745329,2.209292098,-8.021562745,-4.399284946,-5.10674545,-2.003545581,6.08e-05,-0.016643558,0,0,0,-0.012536519,6.08e-05,-0.016643558,0,-273.5864138,0.003375824,0.001598547
15,87,0,81,0.027925268,0.001745329,2.286182151,-8.007998326,-4.378420604,-5.075715449,-1.982373834,6.12e-05,-0.01574997,0,0,0,-0.011842792,6.12e-05,-0.01574997,0,-257.4822603,0.003512912,0.001726471
16,88,0,82,0.029670597,0.001745329,2.376762561,-8.017662387,-4.393817175,-5.092387749,-1.996967688,6.23e-05,-0.015084823,0,0,0,-0.011381438,6.23e-05,-0.015084823,0,-242.2831362,0.003618324,0.001837329
17,89,0,83,0.031415927,0.001745329,2.319299773,-8.002486685,-4.449281964,-5.149657319,-2.050083982,6.25e-05,-0.014714469,0,0,0,-0.011196348,6.25e-05,-0.014714469,0,-235.5643869,0.00371274,0.001916708
18,90,0,84,0.033161256,0.001745329,2.46076024,-8.003652065,-4.568410727,-5.270167744,-2.163868308,6.1e-05,-0.014626576,0,0,0,-0.01125028,6.1e-05,-0.014626576,0,-239.9520893,0.003802206,0.001958982
19,91,0,84,0.034906585,0.001745329,2.711825705,-8.008283749,-4.745566577,-5.43872523,-2.327650056,5.81e-05,-0.014759116,0,0,0,-0.011462329,5.81e-05,-0.014759116,0,-253.8209535,0.003875836,0.001968545
20,92,0,83,0.036651914,0.001745329,2.715446363,-8.007603867,-5.014139239,-5.660411294,-2.5468119,5.49e-05,-0.015037886,0,0,0,-0.011752722,5.49e-05,-0.015037886,0,-273.7990383,0.003913404,0.001955693
21,93,0,82,0.038397244,0.001745329,2.789509814,-8.005131009,-5.214593142,-5.763094219,-2.669229195,5.19e-05,-0.015408146,0,0,0,-0.012076393,5.19e-05,-0.015408146,0,-297.0138837,0.003897366,0.0019301
22,94,0,82,0.040142573,0.001745329,2.819878108,-8.001484214,-4.932153359,-5.572394518,-2.484460503,4.92e-05,-0.01585205,0,0,0,-0.012434579,4.92e-05,-0.01585205,0,-322.190155,0.003822199,0.001895759
23,95,0,84,0.041887902,0.001745329,2.776360142,-8.015505157,-4.770143994,-5.449546416,-2.349685793,4.7e-05,-0.016386717,0,0,0,-0.012862299,4.7e-05,-0.016386717,0,-348.6212136,0.003696322,0.001849926
24,96,0,86,0.043633231,0.001745329,2.461068367,-8.013181751,-4.682608577,-5.377350538,-2.269931144,4.56e-05,-0.017044418,0,0,0,-0.013399829,4.56e-05,-0.017044418,0,-374.1282185,0.003536569,0.001786086
25,97,0,88,0.045378561,0.001745329,2.334088127,-8.016572365,-4.631830147,-5.337760161,-2.223342218,4.52e-05,-0.017845516,0,0,0,-0.01406388,4.52e-05,-0.017845516,0,-394.6551896,0.00335921,0.001698754
26,98,0,89,0.04712389,0.001745329,1.967730123,-8.013169875,-4.579915924,-5.293101747,-2.174569209,4.62e-05,-0.018779292,0,0,0,-0.014833898,4.62e-05,-0.018779292,0,-406.807741,0.003172843,0.001587246
27,99,0,89,0.048869219,0.001745329,1.909403672,-8.005766257,-4.52009474,-5.236305567,-2.117699856,4.82e-05,-0.019802831,0,0,0,-0.015659431,4.82e-05,-0.019802831,0,-410.8640371,0.002976699,0.001456491
28,100,0,89,0.050614548,0.001745329,1.911164793,-8.012168801,-4.47207085,-5.190588817,-2.072054314,5.08e-05,-0.020856966,0,0,0,-0.016482297,5.08e-05,-0.020856966,0,-410.5387252,0.002764514,0.001314831
29,101,0,88,0.052359878,0.001745329,1.682437057,-8.001212367,-4.4182683,-5.134885053,-2.019793126,5.34e-05,-0.021888619,0,0,0,-0.017259701,5.34e-05,-0.021888619,0,-410.1298287,0.002531027,0.001170387
30,102,0,88,0.054105207,0.001745329,1.627623345,-8.013524377,-4.399447495,-5.117136406,-2.001816891,5.55e-05,-0.022866484,0,0,0,-0.017975692,5.55e-05,-0.022866484,0,-412.3647835,0.002277199,0.001028125
31,103,0,87,0.055850536,0.001745329,1.662150285,-8.003693117,-4.375987906,-5.090833834,-1.978700205,5.69e-05,-0.023782688,0,0,0,-0.018636642,5.69e-05,-0.023782688,0,-418.0277901,0.002011426,0.000889092
32,104,0,87,0.057595865,0.001745329,1.545273984,-8.021117554,-4.384851107,-5.1002979,-1.987764664,5.78e-05,-0.02464179,0,0,0,-0.019255732,5.78e-05,-0.02464179,0,-426.5793111,0.001746592,0.0007519
