,Time_Iter,Outer_Iter,Inner_Iter,Cur_Time,Time_Step,Time(sec),rms[Rho],rms[RhoU],rms[RhoV],rms[RhoE],CD,CL,CSF,CMx,CMy,CMz,CFx,CFy,CFz,CEff,plunge(airfoil),pitch(airfoil)
0,72,0,99,0.001745329,0.001745329,0.492776318,-6.441655125,-3.345902839,-3.862039754,-0.283982078,3.51e-05,-0.055823964,0,0,0,-0.046540539,3.51e-05,-0.055823964,0,-1590.482831,0.000638365,-0.000133579
1,73,0,99,0.003490659,0.001745329,0.422097175,-6.735565318,-3.389282115,-4.116872528,-0.487199798,5.28e-05,-0.044030074,0,0,0,-0.033942762,5.28e-05,-0.044030074,0,-833.877972,0.002089347,-0.000408799
2,74,0,99,0.005235988,0.001745329,0.409756211,-7.201809207,-3.717653284,-4.530182239,-0.886158582,6.24e-05,-0.041315759,0,0,0,-0.031585177,6.24e-05,-0.041315759,0,-662.4987007,0.003942144,-0.000587752
3,75,0,99,0.006981317,0.001745329,0.545225367,-7.224893939,-3.679524292,-4.501925904,-0.865001024,4.24e-05,-0.036288207,0,0,0,-0.027186629,4.24e-05,-0.036288207,0,-856.7129421,0.005602006,-0.000376255
4,76,0,99,0.008726646,0.001745329,0.519291027,-7.088566086,-3.390654265,-4.246431176,-0.611488711,1.88e-05,-0.028765572,0,0,0,-0.020790391,1.88e-05,-0.028765572,0,-1528.289135,0.006678077,0.000379074
5,77,0,99,0.010471976,0.001745329,0.474051748,-6.964096483,-3.178910348,-4.048995429,-0.412311945,1.34e-05,-0.01953678,0,0,0,-0.013284284,1.34e-05,-0.01953678,0,-1461.006963,0.007159787,0.001604661
6,78,0,99,0.012217305,0.001745329,0.482283193,-6.892949315,-3.067998753,-3.943097403,-0.306321935,3.02e-05,-0.00985173,0,0,0,-0.005790733,3.02e-05,-0.00985173,0,-326.6408142,0.007350898,0.003045247
7,79,0,99,0.013962634,0.001745329,0.505410874,-6.878672336,-3.035377298,-3.912463584,-0.276028265,5.83e-05,-0.001044974,0,0,0,0.000656066,5.83e-05,-0.001044974,0,-17.9360346,0.007647673,0.004393978
8,80,0,99,0.015707963,0.001745329,0.671337239,-6.917796465,-3.06692408,-3.944613278,-0.308737616,8.27e-05,0.005930425,0,0,0,0.005468344,8.27e-05,0.005930425,0,71.75219296,0.008305665,0.005427515
9,81,0,99,0.017453293,0.001745329,0.637917694,-7.008957451,-3.158349691,-4.035370698,-0.400811927,9.52e-05,0.010809304,0,0,0,0.008666972,9.52e-05,0.010809304,0,113.4982854,0.009316883,0.006078343
10,82,0,99,0.019198622,0.001745329,0.512014629,-7.150992906,-3.308872709,-4.183668034,-0.551702738,9.83e-05,0.01395581,0,0,0,0.010713988,9.83e-05,0.01395581,0,142.0091599,0.010439533,0.006420686
11,83,0,99,0.020943951,0.001745329,0.537311292,-7.339588412,-3.514311738,-4.384437925,-0.756873665,9.87e-05,0.015992514,0,0,0,0.012139961,9.87e-05,0.015992514,0,161.9808264,0.011338603,0.006593584
12,84,0,99,0.02268928,0.001745329,0.87464459,-7.562822046,-3.766549539,-4.627774115,-1.006451504,0.000100912,0.017374504,0,0,0,0.013215123,0.000100912,0.017374504,0,172.1755761,0.011749739,0.00671051
13,85,0,99,0.02443461,0.001745329,0.615856297,-7.746229805,-4.051318156,-4.885935851,-1.276729346,0.000104028,0.018153468,0,0,0,0.013836941,0.000104028,0.018153468,0,174.5054272,0.011584315,0.006801764
14,86,0,99,0.026179939,0.001745329,0.636817235,-7.755322596,-4.53168999,-5.135512075,-1.572327246,0.000104181,0.018016031,0,0,0,0.013646623,0.000104181,0.018016031,0,172.9298214,0.010936837,0.006811352
15,87,0,99,0.027925268,0.001745329,0.640820836,-7.581400561,-4.274757723,-4.965444509,-1.359311951,9.8e-05,0.016519343,0,0,0,0.012267536,9.8e-05,0.016519343,0,168.4902609,0.010009116,0.006639971
16,88,0,99,0.029670597,0.001745329,0.669104314,-7.384234637,-3.776639044,-4.612713482,-0.97833834,8.62e-05,0.013369956,0,0,0,0.009525903,8.62e-05,0.013369956,0,155.1641896,0.009002267,0.006205133
17,89,0,99,0.031415927,0.001745329,0.791153547,-7.226725648,-3.503533729,-4.367541943,-0.72812226,7.36e-05,0.008604654,0,0,0,0.005552533,7.36e-05,0.008604654,0,116.9611591,0.008033359,0.005486442
18,90,0,99,0.033161256,0.001745329,0.549173524,-7.115732429,-3.33338308,-4.206713823,-0.566498744,6.65e-05,0.002603926,0,0,0,0.000738155,6.65e-05,0.002603926,0,39.1285488,0.007111259,0.004536699
19,91,0,99,0.034906585,0.001745329,0.547081283,-7.048389682,-3.233092007,-4.109946119,-0.470283762,6.83e-05,-0.004041717,0,0,0,-0.004413079,6.83e-05,-0.004041717,0,-59.19996687,0.006171622,0.00345913
20,92,0,99,0.036651914,0.001745329,0.560821079,-7.020198927,-3.186439514,-4.064297988,-0.425770339,7.72e-05,-0.010727874,0,0,0,-0.009448341,7.72e-05,-0.010727874,0,-138.8722903,0.005142651,0.002366988
21,93,0,99,0.038397244,0.001745329,0.690888844,-7.02622157,-3.18243913,-4.060138446,-0.422924286,8.95e-05,-0.016996137,0,0,0,-0.014072135,8.95e-05,-0.016996137,0,-189.9818409,0.004003665,0.001347105
22,94,0,99,0.040142573,0.001745329,0.583190116,-7.060711584,-3.211840814,-4.088922346,-0.452950724,0.000101628,-0.022594348,0,0,0,-0.018158461,0.000101628,-0.022594348,0,-222.3232968,0.002808776,0.00044313
23,95,0,99,0.041887902,0.001745329,0.607063916,-7.117524669,-3.266431374,-4.142780175,-0.507888169,0.000112587,-0.027432717,0,0,0,-0.021684952,0.000112587,-0.027432717,0,-243.6578328,0.001669642,-0.000338051
24,96,0,99,0.043633231,0.001745329,0.542963501,-7.191275805,-3.339761582,-4.215420866,-0.581433511,0.000122385,-0.031481497,0,0,0,-0.024638888,0.000122385,-0.031481497,0,-257.2329176,0.00071192,-0.00100491
25,97,0,99,0.045378561,0.001745329,0.614847322,-7.280401807,-3.430671557,-4.305518297,-0.672459438,0.000130627,-0.034674895,0,0,0,-0.026948924,0.000130627,-0.034674895,0,-265.4490572,3e-05,-0.001558629
26,98,0,99,0.04712389,0.001745329,0.554099758,-7.389846061,-3.549562591,-4.42246914,-0.791061744,0.000135671,-0.036870471,0,0,0,-0.028473779,0.000135671,-0.036870471,0,-271.7630222,-0.00033857,-0.001980956
27,99,0,99,0.048869219,0.001745329,0.599956667,-7.520234008,-3.729725118,-4.593870995,-0.96765815,0.000135222,-0.037876847,0,0,0,-0.029045449,0.000135222,-0.037876847,0,-280.1094909,-0.000411779,-0.002237033
28,100,0,99,0.050614548,0.001745329,0.644651916,-7.630805937,-4.120300368,-4.903566177,-1.305316107,0.000127827,-0.037526503,0,0,0,-0.028538075,0.000127827,-0.037526503,0,-293.5716711,-0.000239556,-0.002289514
29,101,0,99,0.052359878,0.001745329,0.513400552,-7.555586271,-4.25104688,-4.94536303,-1.34097044,0.00011417,-0.035751614,0,0,0,-0.02692527,0.00011417,-0.035751614,0,-313.14265,0.00012539,-0.00211543
30,102,0,99,0.054105207,0.001745329,0.513936871,-7.386799533,-3.728836068,-4.5772495,-0.942560345,9.71e-05,-0.032625879,0,0,0,-0.024300232,9.71e-05,-0.032625879,0,-335.8447638,0.000648216,-0.001717273
31,103,0,99,0.055850536,0.001745329,0.467598387,-7.253739683,-3.503103982,-4.369301683,-0.732188423,8.06e-05,-0.028356844,0,0,0,-0.020854235,8.06e-05,-0.028356844,0,-351.6398716,0.001315795,-0.001123912
32,104,0,99,0.057595865,0.001745329,0.515391356,-7.164212591,-3.373599516,-4.245164917,-0.607948336,6.79e-05,-0.02323857,0,0,0,-0.016829055,6.79e-05,-0.02323857,0,-342.2344466,0.002125538,-0.000382385
33,105,0,99,0.059341195,0.001745329,0.562453538,-7.109515051,-3.297157973,-4.171107858,-0.534119015,6.05e-05,-0.017590537,0,0,0,-0.012467624,6.05e-05,-0.017590537,0,-290.5188023,0.003067874,0.000454381
34,106,0,99,0.061086524,0.001745329,0.537053824,-7.081976048,-3.256089767,-4.131379582,-0.494615091,5.86e-05,-0.011709738,0,0,0,-0.007983089,5.86e-05,-0.011709738,0,-199.7064518,0.004112716,0.001338009
35,107,0,99,0.062831853,0.001745329,0.464801774,-7.075947224,-3.240748785,-4.116942638,-0.480336704,6.13e-05,-0.005851111,0,0,0,-0.003553541,6.13e-05,-0.005851111,0,-95.42958444,0.005206532,0.002229383
36,108,0,99,0.064577182,0.001745329,0.488201825,-7.08762887,-3.245413425,-4.122355183,-0.485806705,6.74e-05,-0.000234803,0,0,0,0.000664103,6.74e-05,-0.000234803,0,-3.481666199,0.006280478,0.003097274
37,109,0,99,0.066322512,0.001745329,0.481054402,-7.115490509,-3.267554511,-4.145159852,-0.508618517,7.58e-05,0.004933807,0,0,0,0.004515527,7.58e-05,0.004933807,0,65.11637624,0.007264733,0.003913493
38,110,0,99,0.068067841,0.001745329,0.498960533,-7.160770167,-3.307989006,-4.186131253,-0.549658337,8.49e-05,0.009448717,0,0,0,0.007839607,8.49e-05,0.009448717,0,111.3216282,0.008102041,0.004648347
39,111,0,99,0.06981317,0.001745329,0.532586849,-7.227752074,-3.371636839,-4.249962123,-0.6138298,9.31e-05,0.013104084,0,0,0,0.010474714,9.31e-05,0.013104084,0,140.7328403,0.00875507,0.005269319
40,112,0,99,0.071558499,0.001745329,0.506038432,-7.324174153,-3.469612318,-4.347209925,-0.712053183,9.89e-05,0.015712174,0,0,0,0.012278027,9.89e-05,0.015712174,0,158.9250429,0.009205984,0.005743699
41,113,0,99,0.073303829,0.001745329,0.494390593,-7.458123151,-3.625473305,-4.498903275,-0.866805299,0.000100986,0.017130266,0,0,0,0.013148757,0.000100986,0.017130266,0,169.6296773,0.009450459,0.00604382
42,114,0,99,0.075049158,0.001745329,0.500705412,-7.620745808,-3.914560537,-4.759815538,-1.141387844,9.92e-05,0.017284483,0,0,0,0.013045166,9.92e-05,0.017284483,0,174.2513762,0.009490486,0.006152339
43,115,0,99,0.076794487,0.001745329,0.506974739,-7.664271214,-4.74363784,-5.10657208,-1.550400858,9.42e-05,0.016181019,0,0,0,0.011989166,9.42e-05,0.016181019,0,171.8446631,0.009329834,0.006065351
44,116,0,99,0.078539816,0.001745329,0.507866288,-7.506236831,-3.893171995,-4.731443464,-1.096735664,8.73e-05,0.013901841,0,0,0,0.010058478,8.73e-05,0.013901841,0,159.3261682,0.008973956,0.005792324
45,117,0,99,0.080285146,0.001745329,0.566444345,-7.357831194,-3.616438166,-4.48434042,-0.844281389,8.01e-05,0.010588746,0,0,0,0.007371409,8.01e-05,0.010588746,0,132.2389809,0.008433408,0.005353396
46,118,0,99,0.082030475,0.001745329,0.498882263,-7.254173134,-3.467173552,-4.341532501,-0.701320526,7.41e-05,0.00642357,0,0,0,0.004071264,7.41e-05,0.00642357,0,86.73673879,0.007728205,0.004775548
47,119,0,99,0.083775804,0.001745329,0.483293257,-7.185196143,-3.375746284,-4.252312523,-0.61265638,7.03e-05,0.001611796,0,0,0,0.000315539,7.03e-05,0.001611796,0,22.93785736,0.006890351,0.004089288
48,120,0,99,0.085521133,0.001745329,0.476125894,-7.142147635,-3.319377733,-4.196774905,-0.557832363,6.93e-05,-0.003626866,0,0,0,-0.003728681,6.93e-05,-0.003626866,0,-52.32254541,0.005962977,0.003326778
49,121,0,99,0.087266463,0.001745329,0.472985892,-7.119862094,-3.288068287,-4.165703324,-0.527527285,7.14e-05,-0.009061907,0,0,0,-0.007885371,7.14e-05,-0.009061907,0,-126.9893163,0.00499633,0.002521419
50,122,0,99,0.089011792,0.001745329,0.479864792,-7.115862323,-3.277290617,-4.154872169,-0.517483367,7.6e-05,-0.014453583,0,0,0,-0.011970268,7.6e-05,-0.014453583,0,-190.1315295,0.004042156,0.001708094
51,123,0,99,0.090757121,0.001745329,0.481016872,-7.129627229,-3.285594189,-4.162976829,-0.526371284,8.24e-05,-0.01955719,0,0,0,-0.015795153,8.24e-05,-0.01955719,0,-237.3769993,0.003148521,0.00092308
52,124,0,99,0.09250245,0.001745329,0.477308591,-7.162544118,-3.314006009,-4.191026168,-0.555278736,8.91e-05,-0.024132579,0,0,0,-0.019176888,8.91e-05,-0.024132579,0,-270.7676953,0.00235648,0.000202954
53,125,0,99,0.09424778,0.001745329,0.493657884,-7.2178967,-3.366189163,-4.242604918,-0.607864344,9.47e-05,-0.027958406,0,0,0,-0.021949815,9.47e-05,-0.027958406,0,-295.2052561,0.001698968,-0.000417561
54,126,0,99,0.095993109,0.001745329,0.464616236,-7.301378648,-3.449544102,-4.324807988,-0.691444795,9.78e-05,-0.030848092,0,0,0,-0.023978477,9.78e-05,-0.030848092,0,-315.4765217,0.001201222,-0.000908307
55,127,0,99,0.097738438,0.001745329,0.483467661,-7.421121837,-3.57962932,-4.452035741,-0.821081905,9.75e-05,-0.032663688,0,0,0,-0.025167546,9.75e-05,-0.032663688,0,-334.9979796,0.000881603,-0.001246166
56,128,0,99,0.099483767,0.001745329,0.485374017,-7.578937182,-3.795180895,-4.655557957,-1.031740612,9.37e-05,-0.033324712,0,0,0,-0.025467117,9.37e-05,-0.033324712,0,-355.5552035,0.000751837,-0.001416704
57,129,0,99,0.101229097,0.001745329,0.611246297,-7.717471595,-4.304392911,-5.030721347,-1.449479341,8.7e-05,-0.032811083,0,0,0,-0.024873355,8.7e-05,-0.032811083,0,-377.173206,0.000816371,-0.00141469
58,130,0,99,0.102974426,0.001745329,0.504122958,-7.623804168,-4.163458551,-4.940258045,-1.321241041,7.84e-05,-0.031160964,0,0,0,-0.023425638,7.84e-05,-0.031160964,0,-397.611081,0.001071176,-0.00124367
59,131,0,99,0.104719755,0.001745329,0.448250076,-7.4545751,-3.752772106,-4.610274039,-0.974318134,6.92e-05,-0.028465591,0,0,0,-0.021202126,6.92e-05,-0.028465591,0,-411.3117273,0.001502749,-0.000915008
60,132,0,99,0.106465084,0.001745329,0.473037,-7.327849908,-3.558969132,-4.42779713,-0.790699288,6.09e-05,-0.024862888,0,0,0,-0.018314962,6.09e-05,-0.024862888,0,-408.4331676,0.002088033,-0.000446807
