,Time_Iter,Outer_Iter,Inner_Iter,Cur_Time,Time_Step,Time(sec),rms[Rho],rms[RhoU],rms[RhoV],rms[RhoE],CD,CL,CSF,CMx,CMy,CMz,CFx,CFy,CFz,CEff,plunge(airfoil),pitch(airfoil)
0,72,0,99,0.001745329,0.001745329,0.428974124,-6.474608464,-3.498081475,-3.940169921,-0.460130778,4.58e-05,-0.054369475,0,0,0,-0.046301583,4.58e-05,-0.054369475,0,-1187.94924,0.000390564,-6.24e-05
1,73,0,99,0.003490659,0.001745329,0.377199716,-6.795314736,-3.484385899,-4.192961775,-0.66007337,4.7e-05,-0.040339884,0,0,0,-0.031032736,4.7e-05,-0.040339884,0,-857.8661946,0.001326793,-0.000218049
2,74,0,99,0.005235988,0.001745329,0.542949215,-7.35509458,-3.820086029,-4.665455483,-1.099006394,5.44e-05,-0.037907412,0,0,0,-0.028885013,5.44e-05,-0.037907412,0,-696.2089464,0.002569144,-0.000330486
3,75,0,99,0.006981317,0.001745329,0.61676211,-7.452776911,-3.881563576,-4.721316517,-1.157334191,3.93e-05,-0.033877624,0,0,0,-0.025414864,3.93e-05,-0.033877624,0,-862.6804489,0.003724675,-0.00020571
4,76,0,99,0.008726646,0.001745329,0.388741533,-7.320517753,-3.638745581,-4.497915016,-0.932276917,2.2e-05,-0.028185357,0,0,0,-0.02061126,2.2e-05,-0.028185357,0,-1278.384235,0.004516435,0.000271131
5,77,0,99,0.010471976,0.001745329,0.38790068,-7.203536403,-3.430188119,-4.303276543,-0.73508204,1.77e-05,-0.02155001,0,0,0,-0.015228461,1.77e-05,-0.02155001,0,-1218.265719,0.004923692,0.001065963
6,78,0,99,0.012217305,0.001745329,0.370169711,-7.13826695,-3.321122256,-4.200513736,-0.630884,2.68e-05,-0.014835083,0,0,0,-0.010042153,2.68e-05,-0.014835083,0,-554.0753667,0.005152503,0.002017074
7,79,0,99,0.013962634,0.001745329,0.371687827,-7.130847376,-3.292068616,-4.174779382,-0.60402631,4.16e-05,-0.008843832,0,0,0,-0.005676625,4.16e-05,-0.008843832,0,-212.4124532,0.005485216,0.002921324
8,80,0,99,0.015707963,0.001745329,0.38002933,-7.172206621,-3.324285395,-4.208614801,-0.63724363,5.49e-05,-0.004096452,0,0,0,-0.002432164,5.49e-05,-0.004096452,0,-74.56283191,0.006109851,0.003630199
9,81,0,99,0.017453293,0.001745329,0.3841397,-7.255429882,-3.407643427,-4.292275293,-0.72126035,6.33e-05,-0.000658943,0,0,0,-0.000191601,6.33e-05,-0.000658943,0,-10.40655771,0.007023773,0.004104101
10,82,0,99,0.019198622,0.001745329,0.380664677,-7.378195649,-3.535207557,-4.419380799,-0.849542692,6.73e-05,0.001817373,0,0,0,0.001459635,6.73e-05,0.001817373,0,27.00323229,0.008050545,0.004403676
