,Time_Iter,Outer_Iter,Inner_Iter,Cur_Time,Time_Step,Time(sec),rms[Rho],rms[RhoU],rms[RhoV],rms[RhoE],CD,CL,CSF,CMx,CMy,CMz,CFx,CFy,CFz,CEff,plunge(airfoil),pitch(airfoil)
0,72,0,99,0.001745329,0.001745329,1.967851378,-6.519854055,-3.450392535,-3.911420494,-0.390372854,4.28e-05,-0.054645958,0,0,0,-0.045999831,4.28e-05,-0.054645958,0,-1275.713277,0.000528471,-9.96e-05
1,73,0,99,0.003490659,0.001745329,1.958680172,-6.847871785,-3.516889353,-4.198172397,-0.627625114,4.51e-05,-0.041865865,0,0,0,-0.03213975,4.51e-05,-0.041865865,0,-928.1059797,0.001763312,-0.000324017
2,74,0,99,0.005235988,0.001745329,1.982272884,-7.381896765,-3.853588539,-4.66280537,-1.061447878,4.99e-05,-0.039284598,0,0,0,-0.029916022,4.99e-05,-0.039284598,0,-787.6759018,0.003367799,-0.000479887
3,75,0,99,0.006981317,0.001745329,2.018057123,-7.400093216,-3.755162631,-4.584013343,-0.985076249,3.44e-05,-0.034742239,0,0,0,-0.026027659,3.44e-05,-0.034742239,0,-1008.937383,0.004822816,-0.000310318
4,76,0,99,0.008726646,0.001745329,1.915488865,-7.222860321,-3.474615204,-4.317143988,-0.723215066,1.86e-05,-0.028130561,0,0,0,-0.020456289,1.86e-05,-0.028130561,0,-1515.750606,0.005777313,0.000326927
5,77,0,99,0.010471976,0.001745329,1.840127816,-7.103403666,-3.281627307,-4.132341797,-0.538988618,1.54e-05,-0.020132893,0,0,0,-0.013960107,1.54e-05,-0.020132893,0,-1306.456224,0.006218063,0.001375214
6,78,0,99,0.012217305,0.001745329,1.849860131,-7.041153211,-3.182100537,-4.037017424,-0.442950643,2.69e-05,-0.011792946,0,0,0,-0.0075044,2.69e-05,-0.011792946,0,-437.7929695,0.006417138,0.002614897
7,79,0,99,0.013962634,0.001745329,1.841422646,-7.035087747,-3.154225921,-4.011086659,-0.416988756,4.65e-05,-0.004248406,0,0,0,-0.001989418,4.65e-05,-0.004248406,0,-91.40673525,0.006732776,0.003778703
8,80,0,99,0.015707963,0.001745329,1.834390303,-7.079345803,-3.187037831,-4.044102319,-0.450947512,6.41e-05,0.001703519,0,0,0,0.002101603,6.41e-05,0.001703519,0,26.57362448,0.00739678,0.004673404
9,81,0,99,0.017453293,0.001745329,1.840536639,-7.17047541,-3.277459642,-4.13360248,-0.541977816,7.4e-05,0.005905897,0,0,0,0.004858102,7.4e-05,0.005905897,0,79.85077931,0.00840111,0.005245312
10,82,0,99,0.019198622,0.001745329,1.798065749,-7.307011465,-3.42186262,-4.276587059,-0.68673276,7.75e-05,0.00876604,0,0,0,0.006759127,7.75e-05,0.00876604,0,113.132918,0.009523632,0.005567424
11,83,0,99,0.020943951,0.001745329,1.991378726,-7.477564105,-3.604001819,-4.457256957,-0.869047539,7.95e-05,0.010881657,0,0,0,0.008303629,7.95e-05,0.010881657,0,136.8209567,0.010456336,0.005769031
12,84,0,99,0.02268928,0.001745329,2.010829747,-7.652329548,-3.786897663,-4.638900162,-1.051453324,8.31e-05,0.01264346,0,0,0,0.009708837,8.31e-05,0.01264346,0,152.0777491,0.010956209,0.005952718
13,85,0,99,0.02443461,0.001745329,1.30462352,-7.781352223,-3.927719164,-4.776958007,-1.190530166,8.78e-05,0.014038844,0,0,0,0.010827525,8.78e-05,0.014038844,0,159.9844012,0.010942377,0.006141496
14,86,0,99,0.026179939,0.001745329,1.626647838,-7.841244408,-4.067695828,-4.900672693,-1.321832437,9.04e-05,0.014713866,0,0,0,0.011277592,9.04e-05,0.014713866,0,162.8137638,0.010502276,0.006276645
15,87,0,99,0.027925268,0.001745329,1.782396608,-7.781147572,-4.453471844,-5.10701955,-1.577556954,8.8e-05,0.014208912,0,0,0,0.010675526,8.8e-05,0.014208912,0,161.4790353,0.009819696,0.006258695
16,88,0,99,0.029670597,0.001745329,1.390225883,-7.607036071,-4.252596635,-4.955301226,-1.388551366,8.03e-05,0.012221775,0,0,0,0.008842419,8.03e-05,0.012221775,0,152.1865438,0.009072789,0.006004373
17,89,0,99,0.031415927,0.001745329,1.750372658,-7.434861997,-3.767726935,-4.599673069,-1.004263611,7.07e-05,0.00876802,0,0,0,0.00588991,7.07e-05,0.00876802,0,124.0968547,0.008356263,0.005489134
18,90,0,99,0.033161256,0.001745329,1.633931082,-7.310436377,-3.533865373,-4.384833892,-0.786702678,6.38e-05,0.004178788,0,0,0,0.002165056,6.38e-05,0.004178788,0,65.47952878,0.007660836,0.00475696
19,91,0,99,0.034906585,0.001745329,1.837402065,-7.235076316,-3.405627855,-4.261630682,-0.664082674,6.26e-05,-0.001037726,0,0,0,-0.001897508,6.26e-05,-0.001037726,0,-16.57778644,0.00690957,0.003897904
20,92,0,99,0.036651914,0.001745329,1.47943642,-7.201851676,-3.343878512,-4.201110691,-0.604868656,6.65e-05,-0.006384653,0,0,0,-0.005931965,6.65e-05,-0.006384653,0,-96.0577963,0.006023145,0.00300929
21,93,0,99,0.038397244,0.001745329,1.791387228,-7.202369474,-3.328912357,-4.186033972,-0.591162992,7.31e-05,-0.01151906,0,0,0,-0.009732325,7.31e-05,-0.01151906,0,-157.5669182,0.004976819,0.002161583
22,94,0,99,0.040142573,0.001745329,2.229810505,-7.227161803,-3.346124369,-4.202762481,-0.609005742,8.07e-05,-0.016291703,0,0,0,-0.013248285,8.07e-05,-0.016291703,0,-201.9083767,0.003822158,0.001383999
23,95,0,99,0.041887902,0.001745329,1.960974857,-7.266174477,-3.382516941,-4.238709041,-0.645699964,8.88e-05,-0.020686467,0,0,0,-0.016507375,8.88e-05,-0.020686467,0,-232.9747585,0.002668245,0.000672808
24,96,0,99,0.043633231,0.001745329,1.907070612,-7.31105729,-3.427440211,-4.283317638,-0.690785249,9.77e-05,-0.024710102,0,0,0,-0.019516769,9.77e-05,-0.024710102,0,-253.0088721,0.001637595,1.38e-05
25,97,0,99,0.045378561,0.001745329,2.135643747,-7.359582724,-3.476434401,-4.332034466,-0.739974097,0.00010698,-0.028298074,0,0,0,-0.022198735,0.00010698,-0.028298074,0,-264.5184877,0.000821648,-0.000595259
